CompanyID,KnownJobs
11,|JR1968494|JR1968248|JR1968111|JR1968245|JR1966584|JR1968006|JR1968263|JR1968302|JR1968230|JR1960480|JR1968121|JR1968214|JR1968088|JR1968240|JR1968092|JR1968120|JR1967968|JR1967967|JR1968002|JR1968118|JR1968590|JR1968591|JR1968315|JR1968599|JR1968453|JR1968314|JR1967528|JR1968588|JR1968318|JR1966013|JR1968564|JR1968578|JR1968594|JR1968597|JR1968716|JR1967912|JR1968469|JR1968570|JR1968685|JR1965906|JR1966630|JR1966839|JR1968601|JR1968730|JR1968732|JR1968511|JR1967989|JR1966910|JR1968370|JR1968836|JR1970081|JR1969502|JR1970004|JR1969994|JR1967456|JR1966205|JR1969016|JR1970540|JR1970342|JR1970782|JR1969901|JR1969911|JR1970838|JR1969248|JR1970745|JR1970314|JR1970201|JR1970989|JR1970983|JR1970764|JR1970846|JR1966857|JR1966578|JR1969318|JR1971193|JR1971189|JR1970672|JR1968304|JR1965612|JR1969229|JR1971096|JR1971109|JR1969136|JR1971784|JR1971331|JR1971714|JR1970421|JR1969479|JR1971501|JR1971707|JR1968116|JR1969014|JR1967611|JR1968796|JR1968518|JR1971322|JR1970254|JR1967045|JR1972075|JR1969891|JR1971742|JR1972272|JR1969123|JR1972237|JR1972372|JR1972270|JR1972473|JR1972505|JR1972501|JR1972504|JR1972506|JR1972460|JR1968592|JR1972283|JR1972281|JR1971792|JR1972949|JR1973020|JR1972785|JR1973004|JR1972913|JR1972797|JR1972778|JR1966283|JR1965588|JR1968446|JR1973272|JR1968791|JR1973217|JR1973180|JR1973183|JR1973144|JR1973648|JR1973715|JR1973579|JR1973582|JR1968731|JR1969107|JR1973710|JR1966892|JR1973902|JR1973351|JR1974024|JR1973993|JR1961086|JR1973891|JR1973743|JR1972463|JR1966867|JR1974384|JR1974331|JR1974047|JR1971621|JR1974570|JR1974255|JR1974415|JR1974916|JR1965587|JR1965915|JR1965241|JR1965813|JR1970384|JR1967669|JR1969296|JR1969375|JR1966701|JR1969657|JR1969757|JR1969433|JR1966811|JR1970634|JR1971694|JR1972929|JR1968324|JR1975144|JR1974940|JR1975197|JR1974987|JR1975350|JR1975188|JR1975256|JR1975259|JR1975328|JR1975267|JR1975176|JR1975406|JR1975175|JR1975058|JR1975418|JR1975204|JR1975730|JR1975884|JR1976041
12,
13,|JR202999|JR204690|JR175570|JR204825|JR204609|JR202578|JR205277|JR201581|JR177466|JR205805|JR176390|JR205341|JR205336|JR206008|JR205516|JR206223|JR205469|JR205701|JR202337|JR205696|JR205990|JR205986|JR206367|JR206054|JR206016|JR177018|JR206420|JR206431|JR209390|JR208901|JR208886|JR210064|JR210056|JR210052|JR210044|JR210041|JR210024|JR210017|JR207918|JR209260|JR208890|JR208116|JR207713|JR208746|JR209734|JR209002|JR209723|JR207751|JR207885|JR209161|JR208418|JR208986|JR210375|JR210374|JR210373|JR210372|JR210370|JR210389|JR210384|JR210382|JR210379|JR208840|JR211027|JR209812|JR208745|JR210982|JR210974|JR210969|JR210681|JR210678|JR210657|JR210631|JR210625|JR210623|JR210621|JR209795|JR210636|JR210848|JR211213|JR210031|JR211241|JR211236|JR211216|JR211214|JR211188|JR211180|JR210805|JR210838|JR210830|JR211400|JR211418|JR211412|JR211369|JR210512|JR210900|JR211349|JR211357|JR211548|JR211532|JR211543|JR211562|JR211568|JR210446|JR212040|JR212039|JR212038|JR212037|JR212034|JR212041|JR212036|JR212059|JR212042|JR212049|JR212048|JR212047|JR210400|JR212043|JR209814|JR212068|JR212063|JR212099|JR212121|JR212356|JR212364|JR212355|JR212358|JR206836|JR212078|JR212576|JR212603|JR212615|JR212613|JR212612|JR212607|JR212599|JR212584|JR212632|JR210489|JR211730|JR208848|JR208849|JR212932|JR213253|JR211710|JR212879|JR212866|JR212865|JR212863|JR210683|JR209221|JR213473|JR211096|JR212655|JR207544|JR212874|JR213287|JR213290|JR214212|JR214206|JR214211|JR214176|JR214197|JR213261|JR211304|JR213249|JR214510|JR214502|JR214107|JR214553|JR214547|JR214542|JR214514|JR214535|JR214235|JR211737|JR213747|JR214179|JR215464|JR215495|JR212924|JR214779|JR215953|JR215987|JR215975|JR214568|JR216606|JR216328|JR207785|JR214036|JR216019|JR217075|JR216489|JR217250|JR214289|JR216490|JR208750|JR217499|JR217495|JR217555|JR217094|JR217897|JR214290|JR218538|JR216862|JR218547|JR217610|JR208632|JR215999|JR217342|JR219010|JR219007|JR219035|JR219031|JR219021|JR219415|JR217639|JR220013|JR220014|JR220026|JR220063|JR220105|JR220098|JR220316|JR212268|JR220601|JR220617|JR220612|JR217993|JR220978|JR221086|JR221130|JR221126|JR221140|JR220121|JR221150|JR218887|JR214486|JR221635|JR221698|JR221692|JR221480|JR221482|JR221737|JR221729|JR221723|JR221755|JR221748|JR221451|JR210448|JR221783|JR221053|JR221052|JR221798|JR220197|JR221806|JR221805|JR221802|JR221801|JR222019|JR222013|JR221998|JR211731|JR222070|JR221642|JR222044|JR222983|JR221446|JR222971|JR223008|JR223019|JR221752|JR223158|JR223183|JR223200|JR223217|JR222773|JR223421|JR216682|JR216681|JR222860|JR224106|JR224114|JR224109|JR224126|JR211033|JR223460|JR207719|JR223911|JR225183|JR221876|JR225318|JR225354|JR221830|JR224262|JR225981|JR213309|JR225887|JR214972|JR221100|JR226623|JR225272|JR226175|JR226683|JR226462|JR226463|JR224943|JR224253|JR224256|JR226885|JR225964|JR226435|JR228182|JR227968|JR226678|JR228554|JR227075|JR225613|JR214762|JR229303|JR229482|JR227880|JR228418|JR215078|JR228396|JR228767|JR230166|JR225609|JR230482|JR230532
14,
15,
16,|R138060|R138059|R137940|R137998|R137912|R138140|R138101|R137964|R137965|R137762|R138058|R138245|R138246|R136704|R137733|R138123|R138044|R138247|R138396|R138501|R138413|R137304|R137452|R136619|R137595|R138777|R138776|R137642|R138802|R138805|R138813|R138081|R138220|R138667|R138685|R138395|R138749|R138748|R138684|R139033|R137936|R138780|R138804|R138886|R138528|R138851|R138852|R138608|R139304|R138554|R138812|R138863|R138854|R138565|R138836|R138840|R139173|R139174|R139175|R137925|R137448|R138918|R138937|R139368|R139465|R137981|R139466|R138994|R139065|R138897|R139208|R139459|R138907|R139034|R138939|R139437|R139463|R138903|R139461|R139462|R139447|R138366|R139143|R139064|R137035|R139129|R139131|R139141|R139133|R139138|R139132|R139733|R139446|R139488|R139134|R140289|R140290|R140291|R140292|R140294|R140295|R140296|R140303|R140305|R140304|R140306|R136235|R139723|R139110|R139130|R139035|R139334|R139288|R139043|R140757|R140759|R140092|R140288|R140923|R140097|R140293|R140745|R140180|R138353|R140143|R138825|R140319|R140750|R140676|R138773|R141572|R140909|R140911|R140910|R138440|R141173|R141743|R141189|R138376|R141811|R141822|R141824|R141825|R141737|R141795|R141299|R141341|R141550|R141949|R141387|R138393|R141695|R142058|R141307|R141827|R141549|R141837|R142051|R142142|R142163|R139135|R142355|R142295|R142247|R142113|R142116|R142104|R142018|R142270|R142114|R142135|R142118|R142045|R142122|R141943|R142121|R142156|R142089|R142082|R142246|R142235|R142236|R142249|R142164|R142091|R141409|R142149|R142209|R142148|R142146|R142210|R142326|R142362|R142229|R142601|R142213|R142206|R142497|R142613|R142673|R142674|R142329
17,|2023-42351|2023-42353|2023-42550|2023-42352|2023-42085|2023-42129|2023-39746|2023-39745|2023-39847|2022-37623|2023-41304|2023-43212|2023-39854|2023-43409|2023-42583|2023-43408|2023-42067|2023-42349|2023-43600|2023-43547|2023-43602|2023-43441|2023-43538|2023-43484|2023-43684|2023-43555|2023-44795|2023-43548|2023-41488|2023-45626|2023-45625|2023-45620|2023-45640|2023-46520|2023-45404|2023-46385|2023-45647|2023-47789|2023-39856|2023-47010
18,
19,|R2306926|R2306968|R2306990|R2306967|R2306964|R2222038|R2307105|R2304988|R2307116|R2307086|R2307433|R2306721|R2307465|R2307773|R2307774
20,
