CompanyID,KnownJobs
21,
22,|22f0618e-a09c-4a67-a741-6caf2506c3e1|9b5e3417-474c-4186-88e3-5b0d02b29021|69643df4-e90c-4dd7-9762-f2f7a2139025|078a8d4a-85ab-4775-99e5-fc890e96a7fc|6454574e-48ae-4354-aaa6-b544b67cb0ad|14d4b63a-7f17-4aa9-838e-175ff74208c0|2e26cc3e-069c-44f5-b3e4-71967dcaa27b|53ec5161-9d1d-4c11-98b5-79ac0a17a249|a3cf40f4-912a-4c73-82b4-0635316a89aa
23,
24,
25,|32820|33904|33182|33181|30770|34046|34098|34082|34335|34336|34304|34303|34302|34385|34191|34340|34502|34390|34192|34256|31945|34423|34202|34684|34096|34393|34396|34155|34774|34806|31477|34616|34873|34872|34917|30771|34949|34948|34683|35032|34857|35006|32227|30861|35165|35117|35217|34637|35318|35321|35313|34841|35447|35265|35534|35592|35575|35384|35389|35490|35703|35702|35476|35475|35654|35118|35777|35594|35823|35839|35765|35785|35879|35596|36000|35865|35842|35813|35843|35664|36017|36009|36036|36035|35878|35965|36101
26,|1411470
27,
28,
29,
30,|JR-114641|JR-114668|JR-114412|JR-114866|JR-112422|JR-115178
